Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary
35,Male,Master's,Product Manager,7," 1,05,000 "
51,Female,Master's,Director of Operations,23," 1,70,000 "
29,Male,Bachelor's,Marketing Analyst,3," 50,000 "
40,Female,Bachelor's,HR Manager,12," 80,000 "
47,Male,PhD,Senior Data Scientist,21," 1,80,000 "
26,Male,Bachelor's,Junior Accountant,1," 35,000 "
38,Female,Master's,Digital Marketing Manager,10," 90,000 "
46,Male,Bachelor's,IT Manager,19," 1,20,000 "
31,Female,Bachelor's,Customer Service Representative,5," 45,000 "
34,Male,Master's,Business Development Manager,8," 90,000 "
49,Female,Master's,Senior Financial Analyst,18," 1,50,000 "
33,Male,Bachelor's,Web Developer,6," 65,000 "
39,Female,Bachelor's,Recruiter,11," 70,000 "
45,Male,PhD,Research Director,16," 1,90,000 "
28,Male,Bachelor's,Technical Support Specialist,2," 40,000 "
42,Female,Master's,Creative Director,14," 1,20,000 "
37,Male,Bachelor's,Project Manager,10," 95,000 "
50,Female,Bachelor's,Operations Manager,22," 1,60,000 "
32,Male,Master's,Senior Software Engineer,6," 1,00,000 "
48,Female,Master's,Human Resources Director,20," 1,80,000 "
30,Female,Bachelor's,Content Marketing Manager,3," 55,000 "
36,Male,Bachelor's,Technical Recruiter,8," 70,000 "
41,Female,Master's,Data Analyst,13," 80,000 "
25,Male,Bachelor's,Sales Representative,0," 30,000 "
52,Male,PhD,Chief Technology Officer,24," 2,50,000 "
29,Female,Bachelor's,Junior Designer,2," 40,000 "
34,Female,Master's,Financial Advisor,10," 95,000 "
27,Male,Bachelor's,Junior Account Manager,2," 45,000 "
40,Female,Bachelor's,HR Generalist,15," 80,000 "
46,Male,Master's,Senior Project Manager,21," 1,35,000 "
31,Female,Bachelor's,Marketing Coordinator,6," 55,000 "
36,Male,PhD,Principal Scientist,11," 1,20,000 "
29,Female,Bachelor's,Sales Associate,3," 40,000 "
43,Male,Bachelor's,Supply Chain Manager,18," 1,05,000 "
52,Female,Master's,Senior Marketing Manager,25," 1,70,000 "
33,Male,Bachelor's,Business Analyst,7," 75,000 "
39,Female,Bachelor's,Training Specialist,12," 65,000 "
47,Male,PhD,Research Scientist,22," 1,60,000 "
26,Male,Bachelor's,Junior Software Developer,1," 35,000 "
38,Female,Master's,Public Relations Manager,10," 90,000 "
45,Male,Bachelor's,Operations Analyst,20," 1,10,000 "
31,Female,Bachelor's,Event Coordinator,5," 45,000 "
35,Male,Master's,Product Marketing Manager,8," 95,000 "
49,Female,Master's,Senior HR Manager,19," 1,50,000 "
33,Male,Bachelor's,Junior Web Developer,5," 50,000 "
39,Female,Master's,Senior Project Coordinator,13," 80,000 "
44,Male,PhD,Chief Data Officer,16," 2,20,000 "
30,Female,Bachelor's,Digital Content Producer,3," 50,000 "
36,Male,Bachelor's,IT Support Specialist,7," 60,000 "
41,Female,Master's,Senior Marketing Analyst,14," 1,00,000 "
28,Male,Bachelor's,Customer Success Manager,2," 40,000 "
42,Female,Master's,Senior Graphic Designer,15," 1,10,000 "
37,Male,Bachelor's,Software Project Manager,9," 95,000 "
50,Female,Bachelor's,Supply Chain Analyst,22," 1,30,000 "
32,Male,Master's,Senior Business Analyst,6," 90,000 "
23,Female,Bachelor's,Junior Marketing Analyst,0.5," 35,000 "
31,Male,Master's,Senior Financial Analyst,6," 95,000 "
40,Female,Bachelor's,Office Manager,15," 65,000 "
48,Male,PhD,Principal Engineer,20," 1,70,000 "
29,Female,Bachelor's,Junior HR Generalist,3," 45,000 "
35,Male,Master's,Senior Product Manager,10," 1,20,000 "
42,Female,Bachelor's,Sales Manager,17," 1,00,000 "
53,Male,Master's,Director of Marketing,25," 1,80,000 "
33,Female,Bachelor's,Junior Operations Analyst,5," 50,000 "
38,Male,Bachelor's,Customer Service Manager,11," 80,000 "
44,Female,PhD,Senior Scientist,16," 1,40,000 "
26,Male,Bachelor's,Junior Accountant,2," 40,000 "
37,Female,Master's,Senior HR Generalist,9," 95,000 "
45,Male,Bachelor's,Sales Operations Manager,18," 1,10,000 "
32,Female,Bachelor's,Marketing Coordinator,4," 50,000 "
34,Male,Master's,Senior Software Developer,8," 1,05,000 "
50,Female,Master's,Director of Operations,21," 1,60,000 "
29,Male,Bachelor's,Junior Web Designer,3," 45,000 "
40,Female,Master's,Senior Training Specialist,12," 1,00,000 "
47,Male,PhD,Senior Research Scientist,22," 1,60,000 "
27,Male,Bachelor's,Junior Sales Representative,1," 35,000 "
39,Female,Bachelor's,Administrative Assistant,10," 55,000 "
46,Male,Master's,Senior Project Manager,19," 1,40,000 "
30,Female,Bachelor's,Junior Marketing Manager,4," 50,000 "
36,Male,Bachelor's,Junior Data Analyst,7," 60,000 "
43,Female,Master's,Senior Product Marketing Manager,14," 1,20,000 "
28,Male,Bachelor's,Junior Business Analyst,2," 40,000 "
41,Female,Master's,Senior Marketing Manager,13," 1,10,000 "
33,Male,Bachelor's,Junior Software Developer,5," 50,000 "
47,Male,Bachelor's,Senior Sales Manager,20," 1,35,000 "
25,Female,Master's,Junior Marketing Specialist,1.5," 40,000 "
34,Male,Bachelor's,Senior Business Analyst,8," 90,000 "
42,Female,PhD,Senior Data Scientist,16," 1,50,000 "
31,Male,Bachelor's,Junior Project Manager,4," 60,000 "
38,Female,Bachelor's,Senior Accountant,10," 80,000 "
45,Male,Master's,Director of Sales,19," 1,75,000 "
29,Female,Bachelor's,Junior Recruiter,3," 45,000 "
36,Male,Master's,Senior Business Development Manager,11," 1,20,000 "
43,Female,PhD,Senior Product Designer,18," 1,40,000 "
26,Male,Bachelor's,Junior Customer Support Specialist,2," 35,000 "
37,Female,Master's,Senior Marketing Analyst,9," 95,000 "
44,Male,Bachelor's,Senior IT Support Specialist,14," 1,10,000 "
32,Female,Bachelor's,Junior Financial Analyst,5," 50,000 "
33,Male,Master's,Senior Operations Manager,7," 1,15,000 "
51,Female,PhD,Director of Human Resources,23," 1,85,000 "
28,Male,Bachelor's,Junior Software Engineer,2," 40,000 "
39,Female,Bachelor's,Senior Sales Representative,12," 90,000 "
48,Male,Master's,Director of Product Management,21," 1,75,000 "
30,Female,Bachelor's,Junior Copywriter,3," 45,000 "
35,Male,Bachelor's,Senior Marketing Coordinator,7," 80,000 "
41,Female,Master's,Senior Human Resources Manager,13," 1,20,000 "
27,Male,Bachelor's,Junior Business Development Associate,1.5," 35,000 "
40,Female,Bachelor's,Senior Account Manager,14," 1,10,000 "
46,Male,PhD,Senior Researcher,18," 1,50,000 "
31,Female,Bachelor's,Junior HR Coordinator,4," 50,000 "
34,Male,Master's,Senior Software Engineer,9," 1,05,000 "
50,Female,Master's,Director of Finance,20," 1,80,000 "
29,Male,Bachelor's,Junior Marketing Coordinator,2," 40,000 "
,,,,,
43,Male,Bachelor's,Senior Project Manager,16," 1,40,000 "
26,Female,Master's,Junior Data Scientist,1.5," 45,000 "
35,Male,Bachelor's,Senior Operations Analyst,7," 85,000 "
42,Female,PhD,Senior Marketing Manager,18," 1,40,000 "
31,Male,Bachelor's,Junior Accountant,4," 50,000 "
38,Female,Bachelor's,Senior Human Resources Coordinator,10," 80,000 "
46,Male,Master's,Director of Operations,20," 1,70,000 "
29,Female,Bachelor's,Junior Sales Representative,2," 40,000 "
37,Male,Master's,Senior Business Analyst,9," 1,05,000 "
44,Female,PhD,Senior UX Designer,15," 1,45,000 "
27,Male,Bachelor's,Junior Product Manager,2," 40,000 "
36,Female,Bachelor's,Senior Marketing Specialist,8," 85,000 "
43,Male,Bachelor's,Senior IT Project Manager,14," 1,30,000 "
33,Female,Master's,Senior Financial Analyst,6," 95,000 "
34,Male,Bachelor's,Senior Quality Assurance Analyst,9," 1,00,000 "
50,Female,PhD,Director of Sales and Marketing,22," 1,80,000 "
28,Male,Bachelor's,Junior Operations Analyst,1.5," 35,000 "
39,Female,Bachelor's,Senior Account Executive,12," 95,000 "
47,Male,Master's,Director of Business Development,19," 1,70,000 "
30,Female,Bachelor's,Junior Social Media Manager,3," 45,000 "
34,Male,Bachelor's,Senior Product Manager,7," 95,000 "
40,Female,Master's,Senior Human Resources Specialist,13," 1,20,000 "
28,Male,Bachelor's,Junior Business Analyst,2," 40,000 "
41,Female,Bachelor's,Senior Marketing Coordinator,11," 90,000 "
45,Male,PhD,Senior Data Analyst,17," 1,55,000 "
32,Female,Bachelor's,Junior Account Manager,5," 55,000 "
35,Male,Master's,Senior Software Developer,9," 1,10,000 "
49,Female,Master's,Director of Human Capital,21," 1,80,000 "
30,Male,Bachelor's,Junior Advertising Coordinator,3," 45,000 "
44,Male,Bachelor's,Senior Sales Manager,16," 1,30,000 "
27,Female,Master's,Junior UX Designer,1.5," 45,000 "
36,Male,Bachelor's,Senior Accountant,7," 90,000 "
41,Female,PhD,Senior Marketing Director,17," 1,60,000 "
31,Male,Bachelor's,Junior HR Generalist,4," 50,000 "
39,Female,Bachelor's,Senior Operations Manager,10," 1,20,000 "
47,Male,Master's,Director of Finance,20," 1,70,000 "
30,Female,Bachelor's,Junior Marketing Coordinator,2," 40,000 "
38,Male,Master's,Senior IT Consultant,9," 1,10,000 "
45,Female,PhD,Senior Product Designer,15," 1,50,000 "
28,Male,Bachelor's,Junior Business Development Associate,2," 40,000 "
35,Female,Bachelor's,Senior Marketing Analyst,8," 85,000 "
44,Male,Bachelor's,Senior Software Engineer,14," 1,30,000 "
34,Female,Master's,Senior Financial Advisor,6," 1,00,000 "
35,Male,Bachelor's,Senior Project Coordinator,9," 95,000 "
50,Female,PhD,Director of Operations,22," 1,80,000 "
29,Male,Bachelor's,Junior Business Operations Analyst,1.5," 35,000 "
40,Female,Bachelor's,Senior Sales Representative,12," 1,00,000 "
48,Male,Master's,Director of Marketing,19," 1,70,000 "
31,Female,Bachelor's,Junior Social Media Specialist,3," 45,000 "
33,Male,Bachelor's,Senior Product Development Manager,7," 1,00,000 "
42,Female,Master's,Senior Human Resources Manager,13," 1,40,000 "
28,Male,Bachelor's,Junior Financial Analyst,2," 40,000 "
40,Female,Bachelor's,Senior Marketing Manager,11," 1,05,000 "
46,Male,PhD,Senior Data Scientist,18," 1,60,000 "
33,Female,Bachelor's,Junior Operations Manager,5," 70,000 "
37,Male,Master's,Senior Software Architect,9," 1,20,000 "
51,Female,Master's,Director of Human Resources,21," 1,90,000 "
30,Male,Bachelor's,Junior Marketing Specialist,3," 45,000 "
43,Male,Bachelor's,Senior Project Manager,15," 1,20,000 "
27,Female,Master's,Junior Research Scientist,1.5," 50,000 "
35,Male,Bachelor's,Senior Operations Analyst,8," 85,000 "
42,Female,PhD,Senior Marketing Manager,13," 1,40,000 "
32,Male,Bachelor's,Junior Sales Representative,3," 45,000 "
37,Female,Bachelor's,Senior Financial Analyst,9," 1,00,000 "
45,Male,Master's,Senior Software Developer,16," 1,40,000 "
33,Female,Bachelor's,Junior Operations Analyst,5," 70,000 "
39,Male,Bachelor's,Senior Marketing Specialist,10," 1,20,000 "
44,Female,PhD,Senior HR Manager,18," 1,60,000 "
29,Male,Bachelor's,Junior Business Analyst,1.5," 40,000 "
38,Female,Bachelor's,Senior Product Manager,10," 1,20,000 "
46,Male,PhD,Senior Data Analyst,19," 1,50,000 "
34,Female,Bachelor's,Junior Marketing Analyst,6," 70,000 "
36,Male,Bachelor's,Senior Operations Manager,8," 95,000 "
49,Female,Master's,Director of Marketing,21," 1,80,000 "
31,Male,Bachelor's,Junior Financial Analyst,3," 50,000 "
41,Female,Bachelor's,Senior Project Coordinator,11," 95,000 "
47,Male,Master's,Director of Operations,20," 1,70,000 "
30,Female,Bachelor's,Junior Marketing Coordinator,2," 40,000 "
38,Male,Master's,Senior IT Consultant,9," 1,10,000 "
45,Female,PhD,Senior Product Designer,15," 1,50,000 "
28,Male,Bachelor's,Junior Business Development Associate,2," 40,000 "
35,Female,Bachelor's,Senior Marketing Analyst,8," 85,000 "
44,Male,Bachelor's,Senior Software Engineer,14," 1,30,000 "
34,Female,Master's,Senior Financial Advisor,6," 1,00,000 "
35,Male,Bachelor's,Senior Project Coordinator,9," 95,000 "
50,Female,PhD,Director of Operations,22," 1,80,000 "
29,Male,Bachelor's,Junior Business Operations Analyst,1.5, 350 
,,,,,
37,Female,Bachelor's,Senior Financial Manager,10," 1,20,000 "
46,Male,PhD,Senior Data Scientist,18," 1,60,000 "
31,Female,Bachelor's,Junior Marketing Coordinator,3," 50,000 "
42,Male,Bachelor's,Senior Operations Manager,12," 1,10,000 "
29,Female,Bachelor's,Junior Sales Representative,1.5," 40,000 "
36,Male,Bachelor's,Senior Marketing Specialist,8," 95,000 "
44,Female,Master's,Senior HR Specialist,15," 1,40,000 "
33,Male,Bachelor's,Junior Operations Manager,4," 60,000 "
39,Female,Bachelor's,Senior Marketing Coordinator,9," 1,10,000 "
45,Male,PhD,Senior Data Engineer,16," 1,50,000 "
32,Female,Bachelor's,Junior Marketing Manager,4," 60,000 "
37,Male,Bachelor's,Senior Financial Analyst,8," 90,000 "
47,Female,Master's,Director of Marketing,20," 1,80,000 "
30,Male,Bachelor's,Junior Business Analyst,2," 40,000 "
38,Female,Bachelor's,Senior Project Manager,9," 1,20,000 "
46,Male,PhD,Senior Data Analyst,17," 1,60,000 "
34,Female,Bachelor's,Junior Financial Analyst,5," 70,000 "
36,Male,Bachelor's,Senior Product Manager,8," 95,000 "
49,Female,Master's,Director of Operations,21," 1,80,000 "
31,Male,Bachelor's,Junior Operations Analyst,3," 50,000 "
41,Female,Bachelor's,Senior Project Coordinator,11," 95,000 "
47,Male,Master's,Director of Marketing,19," 1,70,000 "
29,Female,Bachelor's,Junior Business Development Associate,1.5," 35,000 "
35,Male,Bachelor's,Senior Financial Manager,9," 1,00,000 "
44,Female,PhD,Senior Product Designer,15," 1,50,000 "
33,Male,Bachelor's,Junior Business Analyst,4," 60,000 "
35,Female,Bachelor's,Senior Marketing Analyst,8," 85,000 "
44,Male,Bachelor's,Senior Software Engineer,13," 1,30,000 "
32,Male,Bachelor's,Junior Product Manager,4," 65,000 "
38,Female,Bachelor's,Senior Business Analyst,10," 1,10,000 "
49,Male,PhD,Director of Operations,21," 1,80,000 "
29,Female,Bachelor's,Junior Marketing Specialist,2," 40,000 "
35,Male,Bachelor's,Senior Business Development Manager,7," 90,000 "
45,Female,Master's,Senior HR Manager,14," 1,40,000 "
33,Male,Bachelor's,Junior Financial Analyst,4," 60,000 "
40,Female,Bachelor's,Senior Marketing Manager,12," 1,30,000 "
44,Male,PhD,Senior Data Scientist,16," 1,60,000 "
30,Female,Bachelor's,Junior Operations Coordinator,2," 40,000 "
37,Male,Bachelor's,Senior Marketing Analyst,9," 1,00,000 "
48,Female,Master's,Director of HR,20," 1,80,000 "
31,Male,Bachelor's,Junior Project Manager,3," 55,000 "
38,Female,Bachelor's,Senior Operations Coordinator,9," 1,20,000 "
45,Male,PhD,Senior Data Engineer,16," 1,50,000 "
33,Female,Bachelor's,Junior Marketing Manager,5," 70,000 "
36,Male,Bachelor's,Senior Business Analyst,8," 95,000 "
49,Female,Master's,Director of Marketing,21," 1,80,000 "
31,Male,Bachelor's,Junior Operations Analyst,3," 50,000 "
42,Female,Bachelor's,Senior Project Manager,12," 1,20,000 "
47,Male,Master's,Director of Marketing,19," 1,70,000 "
29,Female,Bachelor's,Junior Business Development Associate,1.5," 35,000 "
35,Male,Bachelor's,Senior Financial Manager,9," 1,00,000 "
44,Female,PhD,Senior Product Designer,15," 1,50,000 "
33,Male,Bachelor's,Junior Business Analyst,4," 60,000 "
35,Female,Bachelor's,Senior Marketing Analyst,8," 85,000 "
44,Male,Bachelor's,Senior Software Engineer,13," 1,30,000 "
34,Female,Master's,Senior Financial Advisor,6," 80,000 "
36,Male,Bachelor's,Senior Marketing Specialist,8," 95,000 "
30,Female,Bachelor's,Junior HR Coordinator,2," 40,000 "
37,Male,Bachelor's,Senior Business Development Manager,10," 1,20,000 "
45,Female,Master's,Senior Marketing Manager,16," 1,60,000 "
32,Male,Bachelor's,Junior Financial Advisor,4," 65,000 "
39,Female,Bachelor's,Senior Project Manager,12," 1,30,000 "
47,Male,PhD,Director of Engineering,20," 1,80,000 "
29,Female,Bachelor's,Junior Marketing Analyst,2," 40,000 "
36,Male,Bachelor's,Senior Operations Manager,9," 1,00,000 "
43,Female,PhD,Senior Data Scientist,15," 1,50,000 "
32,Male,Bachelor's,Junior Marketing Coordinator,3," 55,000 "
38,Female,Bachelor's,Senior Business Analyst,10," 1,10,000 "
48,Male,Master's,Director of Marketing,21," 1,80,000 "
31,Female,Bachelor's,Junior Business Development Associate,3," 50,000 "
40,Male,Bachelor's,Senior Financial Analyst,12," 1,30,000 "
45,Female,PhD,Senior UX Designer,16," 1,60,000 "
33,Male,Bachelor's,Junior Product Manager,4," 60,000 "
36,Female,Bachelor's,Senior Marketing Manager,8," 95,000 "
47,Male,Master's,Director of Operations,19," 1,70,000 "
29,Female,Bachelor's,Junior Project Manager,2," 40,000 "
34,Male,Bachelor's,Senior Operations Coordinator,7," 90,000 "
44,Female,PhD,Senior Business Analyst,15," 1,50,000 "
33,Male,Bachelor's,Junior Marketing Specialist,5," 70,000 "
35,Female,Bachelor's,Senior Financial Manager,8," 90,000 "
43,Male,Master's,Director of Marketing,18," 1,70,000 "
31,Female,Bachelor's,Junior Financial Analyst,3," 50,000 "
41,Male,Bachelor's,Senior Product Manager,14," 1,50,000 "
44,Female,PhD,Senior Data Engineer,16," 1,60,000 "
33,Male,Bachelor's,Junior Business Analyst,4," 60,000 "
35,Female,Bachelor's,Senior Marketing Analyst,8," 85,000 "
45,Male,Master's,Director of Engineering,19," 1,80,000 "
28,Female,Bachelor's,Junior Operations Manager,1," 35,000 "
36,Male,Bachelor's,Senior Business Development Manager,8," 1,10,000 "
44,Female,PhD,Senior Data Scientist,16," 1,60,000 "
31,Male,Bachelor's,Junior Marketing Coordinator,3," 55,000 "
38,Female,Bachelor's,Senior Business Analyst,10," 1,10,000 "
48,Male,Master's,Director of Marketing,21," 1,80,000 "
31,Female,Bachelor's,Junior Business Development Associate,3," 50,000 "
40,Male,Bachelor's,Senior Financial Analyst,12," 1,30,000 "
45,Female,PhD,Senior UX Designer,16," 1,60,000 "
33,Male,Bachelor's,Junior Product Manager,4," 60,000 "
36,Female,Bachelor's,Senior Marketing Manager,8," 95,000 "
47,Male,Master's,Director of Operations,19," 1,70,000 "
29,Female,Bachelor's,Junior Project Manager,2," 40,000 "
34,Male,Bachelor's,Senior Operations Coordinator,7," 90,000 "
44,Female,PhD,Senior Business Analyst,15," 1,50,000 "
33,Male,Bachelor's,Junior Marketing Specialist,5," 70,000 "
35,Female,Bachelor's,Senior Financial Manager,8," 90,000 "
43,Male,Master's,Director of Marketing,18," 1,70,000 "
31,Female,Bachelor's,Junior Financial Analyst,3," 50,000 "
41,Male,Bachelor's,Senior Product Manager,14," 1,50,000 "
44,Female,PhD,Senior Data Engineer,16," 1,60,000 "
33,Male,Bachelor's,Junior Business Analyst,4," 60,000 "
35,Female,Bachelor's,Senior Marketing Analyst,8," 85,000 "
43,Male,Master's,Director of Operations,19," 1,70,000 "
29,Female,Bachelor's,Junior Project Manager,2," 40,000 "
34,Male,Bachelor's,Senior Operations Coordinator,7," 90,000 "
44,Female,PhD,Senior Business Analyst,15," 1,50,000 "
31,Male,Master's,Data Scientist,6," 1,60,000 "
28,Female,Bachelor's,Software Engineer,3," 1,25,000 "
26,Male,Master's,Product Manager,2," 1,20,000 "
27,Female,Bachelor's,Data Analyst,2," 1,10,000 "
30,Male,PhD,Data Scientist,5," 1,80,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
32,Male,Bachelor's,Product Manager,7," 1,70,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
28,Male,Bachelor's,Software Engineer,3," 1,25,000 "
26,Female,Master's,Product Manager,2," 1,20,000 "
27,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,5," 1,80,000 "
29,Male,Bachelor's,Software Engineer,4," 1,40,000 "
32,Male,Bachelor's,Product Manager,7," 1,70,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
28,Male,Bachelor's,Software Engineer,3," 1,25,000 "
26,Female,Master's,Product Manager,2," 1,20,000 "
27,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,5," 1,80,000 "
29,Male,Bachelor's,Software Engineer,4," 1,40,000 "
32,Male,Bachelor's,Product Manager,7," 1,70,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
28,Male,Bachelor's,Software Engineer,3," 1,25,000 "
26,Female,Master's,Product Manager,2," 1,20,000 "
27,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,5," 1,80,000 "
29,Male,Bachelor's,Software Engineer,4," 1,40,000 "
32,Male,Bachelor's,Product Manager,7," 1,70,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
27,Male,PhD,Data Scientist,2," 1,15,000 "
29,Female,Bachelor's,Software Engineer,4," 1,40,000 "
34,Male,Bachelor's,Product Manager,9," 1,85,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
31,Female,Bachelor's,Software Engineer,6," 1,55,000 "
28,Male,Master's,Product Manager,3," 1,30,000 "
30,Female,Bachelor's,Data Analyst,5," 1,45,000 "
28,Male,Bachelor's,Software Engineer,3," 1,25,000 "
26,Female,Master's,Product Manager,2," 1,20,000 "
27,Male,Bachelor's,Data Analyst,2," 1,10,000 "
30,Female,PhD,Data Scientist,5," 1,80,000 "
29,Male,Bachelor's,Software Engineer,4," 1,40,000 "
32,Male,Bachelor's,Product Manager,7," 1,70,000 "
25,Female,Master's,Data Analyst,1," 1,00,000 "
33,Male,PhD,Data Scientist,8," 1,90,000 "
